qid,question_msa,gold_answer
wahm_091,ما هي متلازمة كلاينفيلتر؟,"متلازمة توجد في الذكور الذين يمتلكون صبغ (خ) زائد في خلاياهم, متلازمة توجد في الذكور الذين يمتلكون صبغ (خ) زائد في خلاياهم، ليصبح العدد 44+XXY بدلا من 44+XY"
wahm_092,كم مساحة البحرالميت؟,650 كم2
wahm_093,متى تم بناء جامع الزيتونة في تونس؟,698
wahm_094,من هو الفيلسوف أنطوني فلو؟,فيلسوف بريطاني، اشتهر بكتاباته في فلسفة الأديان
wahm_095,من هم الأنصار؟,أهل يثرب الذين ناصروا رسول الله في الإسلام محمد بن عبد الله
wahm_096,متى تاسس الاتحاد الدولي لكرة القدم؟,21 مايو من العام 1904
wahm_097,اين تقع مدينة الاسماعيلية؟,منتصف المسافة بين بورسعيد شمالا والسويس جنوبًا
wahm_098,أين ولد أبو عامر محمد بن أبي عامر؟,الجزيرة الخضراء
wahm_099,ما معنى اسم داوُود؟,"الحبيب, اسم علم شخصي عربي من أصل عبري، ويعتبر من الأسماء المنتشرة في العالم العربي نسباً لأنه اسم داود أحد الأنبياء في الإسلام والمسيحية واليهودية وألذي يعني الحبيب، ولهذا الاسم أشكال مختلفة في اللغات الأخرى مثل ديفيد وديف ودايفي وداودا"
wahm_100,اين توجد منطقة الخفجي؟,شمال شرق المملكة العربية السعودية
wahm_101,متى أطلقت قناة كرتون نتورك؟,10 أكتوبر 2010
wahm_102,متى تولى محمد السادس الحكم في المغرب؟,ربيع الآخر سنة 1420 هـ
wahm_103,ماهو تعداد المسيحيين الأردنيين ؟,"174,000 إلى 390,000 نسمة, من 174,000 إلى 390,000"
wahm_104,أين تقع مدينة قطيسفون؟,جنوب شرق بغداد
wahm_105,ما هي الذاكرة العرضية؟,ذاكرة أحداث السيرة الذاتية
wahm_106,أين تقع مديرية رغوان؟,وسط اليمن
wahm_107,أين ولد هندريك أنتون لورنتس ؟,أرنهيم بخيلدرلند بهولندا
wahm_108,من هو مخترع العجلات المطاطية التي تسير عليها السيارات؟,جون بويد دنلوب
wahm_109,اين يقع البحر الميت ؟,"أخدود وادي الأردن, في أخدود وادي الأردن ضمن الشق السوري الأفريقي"
wahm_110,ما هي أطول فترات حكم فلاد الثالث؟,"دامت أطول فترات حكمه فيما بين عامي 1456 و1462 في أوج الحملات العثمانية للسيطرة على البلقان, بين عامي 1456 و1462"
wahm_111,من هي نانسي ريغان؟,ممثلة سينمائية أمريكية وزوجة رونالد ريغان الرئيس الأربعين للولايات المتحدة الأمريكية، وسيّدة الولايات المتحدة الأولى لمدة ثمان سنوات، من 1981 وحتى 1989
wahm_112,متى انضم اللاعب كيفن دي بروين لمانشستر سيتي الانجليزي؟,2015
wahm_113,من هو خليل كوت؟,"ضابط في الجيش العثماني وحاكم إقليمي, ضابط في الجيش العثماني وحاكم إقليمي، هو عم وزير الحرب العثماني خلال الحرب العالمية الأولى"
wahm_114,متى صدر العدد الأول من المجلة تايم الأمريكية؟,3 مارس 1923
wahm_115,ما هو المذهب الحنفي؟,"ينسب هذا المذهب لأبي حنيفة النعمان (80هـ - 150هـ)، وهو مذهب فقهي من المذاهب الفقهية الأربعة المشهورة عند أهل السنة والجماعة كالمذهب المالكي، والمذهب الشافعي، والمذهب الحنبلي, مذهب فقهي من المذاهب الفقهية الأربعة المشهورة عند أهل السنة والجماعة"
wahm_116,من هو سيمون بوليفار؟,"عسكري وسياسي فنزويلي, عسكري وسياسي فنزويلي في فترة ما قبل الجمهورية القبطانية العامة لفنزويلا"
wahm_117,ماهى الرواية الفروسية ؟,جنس أدبي من الروايات المكتوبة بالنثر والتي ظهرت في إسبانيا والبرتغال في القرن السادس عشر ولاقت نجاحًا كبيرًا وشعبية واسعة
wahm_118,متى توفي الإمام جعفر الصادق؟,مساء 25 شوال من سنة 148 هـ
wahm_119,أين تقع مملكة بوتان؟,جنوب آسيا
wahm_120,كم عدد الأسنان في الإنسان ؟,32
wahm_121,متى تم إنشاء معاهدة الحد من انتشار الأسلحة النووية؟,1 يوليو 1968
wahm_122,متى بدأت  الزخارف الإسلامية؟,836 م
wahm_123,أين توفي أبو عبد الله سفيان بن سعيد بن مسروق؟,البصرة
wahm_124,متى ولد مصطفى فخار بن حميدو بن علال ؟,مارس 1892م
wahm_125,في أي عام تولى عبد الفتاح السيسي الحكم في مصر؟,2014
wahm_126,ما هي نسبة ملوحة البحر الميت؟,34%
wahm_127,في أي عام تأسست جامعة تورنتو؟,15 مارس 1827
wahm_128,أين إندلعت الثورة التونسية؟,سيدي بوزيد وولاية القصرين
wahm_129,من القريق الفائز بكاس العالم 1998 ؟,فرنسا
wahm_130,ما هي تقنية النانو ؟,"العلم الذي يهتم بدراسة معالجة المادة على المقياس الذري والجزيئي, هي العلم الذي يهتم بدراسة معالجة المادة على المقياس الذري والجزيئي"
wahm_131,أين ولدت هيلينا بتروفنا بلافاتسكي؟,إقليم أيكانزينسلاف
wahm_132,ما هي دلتا النيل؟,"شمال مصر, دلتا تكونت في شمال مصر (الوجه البحري) حيث يتفرع النيل إلى فرعين يصبان في البحر المتوسط"
wahm_133,أي عضو في الجسم مسؤول على نقل الأوكسيجين؟,جهاز التنفس
wahm_134,اين توجد جزيرة بوكيت؟,جنوب تايلاند
wahm_135,ما أصل اللغة المجرية؟,"تنتمي المجرية إلى مجموعة اللغات الأوغرية، وهذه المجموعة تنتمي إلى عائلة اللغات الأورالية, لأوغرية"
wahm_136,ماذا تسمى الغدة التناسلية الأنثوية؟,المبيضان
wahm_137,ما هو العليق المقدس؟,"شجيرة معمرة  شائكة من فصيلة الوردية, شجيرة معمرة  شائكة من فصيلة الوردية، كثيفة الأوراق"
wahm_138,كيف توفي راجيف راتنا غاندي ؟,اغتيل
wahm_139,من هو الملك فرانكو الأول؟,"قائد عسكري تولى رئاسة إسبانيا من أكتوبر 1936 وحتى وفاته في سنة 1975، وصل إلى السلطة بعد الحرب الأهلية الإسبانية (1936 - 1939), قائد عسكري تولى رئاسة إسبانيا من أكتوبر 1936 وحتى وفاته في سنة 1975"
wahm_140,كم عدد الرؤساء الأميركيين الذين تخرجوا من جامعة هارفارد؟,سبع
wahm_141,من هو أميري بركة؟,"له العديد من المؤلفات في المسرح والشعر والدراما، والرواية، وعدد واسع من المقالات, له العديد من المؤلفات في المسرح والشعر والدراما، والرواية، وعدد واسع من المقالات. قام بالتدريس في عدد من الجامعات، من بينها جامعة نيويورك في بوفالو"
wahm_142,من هو خورخه فيديلا؟,الحاكم العسكري المطلق للأرجنتين من 1976 إلى 1981
wahm_143,أين تقع مدينة قوندر؟,إثيوبية
wahm_144,ما هي اكبر جائزة في مسابقة الخيول؟,"كأس دبي العالمي, كأس دبي العالمي  لسباق الخيل"
wahm_145,متى ولد شارل ديغول؟,1890
wahm_146,متى ولد  بدر الدين الزركشي؟,745 هـ
wahm_147,ماهى الأدوية ؟,أية مادة تستعمل في تشخيص أو معالجة الأمراض التي تصيب الإنسان أو الحيوان، أو التي تفيد في تخفيف وطأتها أو الوقاية منها
wahm_148,اين توجد مدينة الحبيلين؟,محافظة لحج
wahm_149,ما هي السرطانة المشيمائية؟,ورم خبيث أرومي غاذي[1] ينشأ عادةً في المشيمة
wahm_150,متى  تأسس  المسرح اليديشي؟,1876
wahm_151,اين توجد مدينة بيشاور؟,"خیبر بختونخوا, باكستان"
wahm_152,متى نشبت معركة دوروستولون؟,971
wahm_153,كم استمر حكم السلطان عبد الحميد الثاني؟,ثلاثين سنة
wahm_154,أين كانت منطقة مملكة كوش؟,"جنوب الشلال الأول والواوات على شماله في بلاد النوبة العليا والسفلى, بلاد النوبة العليا والسفلى"
wahm_155,"متى تاسس جهاز المخابرات الاسرائيلي ""الموساد""؟",13 ديسمبر 1949
wahm_156,ما هي الترجمة اليونانية لكلمة البطريرك؟,الأب الرئيس
wahm_157,أين دفن إلوي ألفارو ؟,مقبرة عامة في كيتو
wahm_158,متى إفتتحت جامعة أم القرى؟,1369 هـ
wahm_159,كم دوري أنجليزي تحصل عليه نادي مانشستر يونايتد لكرة القدم؟,20
wahm_160,ماهى عاصمة آيرلندا الشمالية ؟,بلفاست
wahm_161,ما معنى اسم نهر ريو دي لا بلاتا ؟,نهر الفضة
wahm_162,أين تقع مدينة مروي؟,"شمال السودان, شمال السودان تقع علي الضفة الشرقية لنهر النيل"
wahm_163,متى عاش أبو عبد الله سفيان بن سعيد بن مسروق؟,97 هـ
wahm_164,ما هي مجموعة بلدربيرغ؟,"مؤتمر سنوي غير رسمي يحضره قرابة 100 إلى 150 من المدعوين، معظمهم من أكبر رجالات السياسة والأعمال والبنوك نفوذاً في العالم, مؤتمر سنوي غير رسمي يحضره قرابة 100 إلى 150 من المدعوين، معظمهم من أكبر رجالات السياسة والأعمال والبنوك نفوذاً في العالم. ويتم الحديث في المؤتمر خلف جدار من السرية الشديدة حول العديد من المواضيع العالمية والاقتصادية والعسكرية والسياسية"
wahm_165,ما هو بلد المنشأ لرياضة الجودو؟,اليابان
wahm_166,متى يوافق اليوم العالمي لحقوق الطفل؟,20 نوفمبر
wahm_167,ما هو الجواد الاصيل؟,من سلالات الخيول الخفيفة في العالم وهي تابعة لمنطقة الشرق الأوسط
wahm_168,"متى صدر المسلسل الامريكي ""سترينجر ثينقز""؟",15 يوليو، 2016
wahm_169,من هو دانييل بارينبويم؟,عازف بيانو، وقائد أوركسترا
wahm_170,في أي عام أنشئت القائمة الحمراء للأنواع المهددة بالانقراض؟,1963
wahm_171,من هو مخترع الديناميت؟,ألفرد نوبل
wahm_172,ما هي الخلايا الحبيبية المتعادلة؟,"أكثر أنواع  كريات الدم البيضاء, أكثر أنواع  كريات الدم البيضاء غزارة لدى الإنسان حيث تشكل ما نسبته 60-70% من كريات الدم البيضاء"
wahm_173,متى تأسس مهرجان كان السينمائي؟,1946
wahm_174,من هي باولا عبدول؟,فنانة أمريكية يهودية مشهورة لوالد يهودي سوري من حلب
wahm_175,من هو رائد المدرسة البنائية في علم النفس؟,فيلهلم فونت
wahm_176,متى إندلعت الثورة  التونسية؟,17 ديسمبر 2010
wahm_177,أين تقع  مدينة دنقلا العجوز؟,"الولاية الشمالية بالسودان, على الضفة الشرقية لنهر النيل، في الولاية الشمالية بالسودان"
wahm_178,متى وقعت معركة كورسك؟,مابين 5 يوليو 1943 و23 أغسطس
wahm_179,من كاتب كتاب المقدّمة؟,ابن خلدون
wahm_180,ما هو العمرالوسطي للإصابة بمرض سرطان عنق الرحم؟,"20 حتى 30 عام, 52 عام"
wahm_181,ما هو اسم التفضيل؟,اسم مشتق يدل على شيئين اشتركا في صفة واحدة وزاد أحدهما على الآخر في هذه الصفة
wahm_182,من هي الأميرة اولغا؟,أميرة روسيا الكييفية
wahm_183,أين تقع مدينة المهدية؟,"تونس, جنوب تونس العاصمة"
wahm_184,متى تم تأسيس أكاديمية اللغة الفرنسية؟,1635
wahm_185,متى توفي محمود شوكت باشا؟,17 ديسمبر 1903م
wahm_186,ما هو الرادار ؟,"نظام يستخدم موجات كهرومغناطيسية للتعرف على بعد وارتفاع واتجاه وسرعة الأجسام الثابتة والمتحركة, نظام يستخدم موجات كهرومغناطيسية للتعرف على بعد وارتفاع واتجاه وسرعة الأجسام الثابتة والمتحركة كالطائرات، والسفن، والعربات، وحالة الطقس، وشكل التضاريس"
wahm_187,أين تقع الغدد البصلية الإحليلية؟,جانبي الجزء الغشائي من الخلف من الإحليل أو مجرى البول أسفل القضيب
wahm_188,ما هو الاضطراب الاكتئابي؟,مصطلح يستخدم لوصف خليط من الحالات المرضية أو غير المرضية في الإنسان والتي يغلب عليها طابع الحزن
wahm_189,متى توفيت نبوية موسى محمد بدوية ؟,30 إبريل 1951
wahm_190,في أي عام تأسست منظمة الصحة العالمية؟,7 أبريل 1948
wahm_191,ما مهنة محمود أحمدي نِجَاد قبل الرئاسة؟,عمدةً لبلدية طهران
wahm_192,متى تأسست المحكمة الجنائية الدولية؟,2002
wahm_193,ما هو بروتوكول التوجيه في شبكات تبديل الرزم؟,"اسم لعائلة من بروتوكولات الشبكة, اسم لعائلة من بروتوكولات الشبكة التي تُحدد مجموعة القواعد الضابطة لكيفيّة تواصل تجهيزات الشبكة، كالمُوجّهات أو العُقد مع بعضها البعض"
wahm_194,ما هو حديث الكساء؟,حديث نبوي، تحدَّث به رسول الإسلام محمد في فضل أهل بيته
wahm_195,متى أنشأت استديوهات والت ديزني للرسوم المتحركة؟,16 أكتوبر من عام 1923
wahm_196,من كان أول رئيس وزراء بريطانيا؟,"السير روبرت والبول, روبرت والبول"
wahm_197,"من هو مخرج فيلم الانمي "" الاميرة مونونوكي""؟",هاياو ميازاكي
wahm_198,في اي محافظة عراقية توجد مدينة الرمادي؟,"محافظة الأنبار, الأنبار"
wahm_199,ما هي أكبر شركة لصناعة المواد الاستهلاكية في العالم؟,بروكتر وغامبل
wahm_200,من مقدم برنامج خواطر؟,أحمد مازن أحمد أسعد الشقيري
wahm_201,كم تبعد الموصل عن بغداد ؟,465 كلم
wahm_202,في أي عام تأسست جمعية العربية الفتاة؟,1911م
wahm_203,كم بلغ التعداد السكاني للعراق في 2014 ؟,"37,5 مليون نسمة"
wahm_204,ما هو الطب النَوَوِي ؟,"فرع من الطب يستعمل المواد المشعة في التصوير الطبي أو التشخيص المَرَضِيّ, هو فرع من الطب يستعمل المواد المشعة في التصوير الطبي أو التشخيص المَرَضِيّ"
wahm_205,متى يقام مهرجان مدينة جرش؟,في يوليو من كل عام
wahm_206,ما هي مساحة إمارة الفجيرة؟,1165 كم مربعاً
wahm_207,ما هي رياضة تشي كونغ؟,تقوم على نظام شامل لتنسيق الجسم بالحركة والتنفس والتأمل كوسيلة فعالة للحفاظ على الصحة أوالروحانيات أوالتدريب على فنون القتال
wahm_208,أين يقع إتحاد كرة القدم لكرة القدم؟,"باريس, زيورخ"
wahm_209,أين يقع بحر إيجة؟,"أحد أفرع البحر المتوسط, بين شبه الجزيرة اليونانية والأناضول"
wahm_210,متى بدأ استخدام الإنترنت في سوريا؟,1997
wahm_211,من هي مؤلفة الرواية الملعونة؟,أمل جرّاح
wahm_212,من هو أول قائد للجيش الرابع بانزر؟,إريش فون مانشتاين
wahm_213,ما هي الحوزة العلمية؟,لفظ اصطلاحي للمدرسة الفقهية التابعة للمذهب الجعفري
wahm_214,بماذا عرف عمر بن عبد العزيز بن مروان بن الحكم الأموي القرشي؟,عمر الثاني
wahm_215,ما هي أقدم جامعة في مدينة روما؟,"روما, جامعة لا سابينزا"
wahm_216,متى تأسست جامعة ستانفورد في الولايات المتحدة؟,1885
wahm_217,ما هو النزيف الداخلي ؟,نزيف يحدث داخل الجسم
wahm_218,متى تأسس مجلس الشورى السعودي؟,1927م
wahm_219,من هو مخترع الإطار المطاط؟,جون بويد دنلوب
wahm_220,متى بدأت الأزمة الإقتصادية باليونان؟,أبريل 2010
wahm_221,ما هي نظرية التشغيل الذاتي؟,نظرية تهتم بتعريف ودراسة خواص الآلات الحاسوبية المجرّدة
wahm_222,أين تقع مدينة بافيا؟,"شمال إيطاليا في إقليم لومبارديا, إقليم لومبارديا"
wahm_223,متى يحتفل المسيحيين بعيد رأس السنة؟,24 ديسمبر ونهار 25 ديسمبر
wahm_224,متى صدر اول جهاز العاب فيدبو من شركة سوني ؟,3 ديسمبر عام 1994
wahm_225,متى ولد ألبرت أينشتاين؟,"(14 مارس 1879, 14 مارس 1879"
wahm_226,من أين تبث قناة المستقّلة؟,أطلانطيك بيرد في نفس مدار نايل سات. كانت القناة وحتى العام 2012 تبث عبر القمرين الصناعيين عرب سات، هوت بيرد
wahm_227,ما هي حرب الخنادق؟,شكل من أشكال الحرب يأخذ المقاتلون مواقع محصّنة وتكون خطوط القتال جامدة وممتده كالخنادق لذلك سميت بحرب الخنادق
wahm_228,ما هي الأصول غير الملموسة؟,أحد العوامل المساهمة في تحديد التفاوت بين قيمة الشركة حسب السجلات المحاسبية الخاصة بها وقيمة الشركة حسب قيمتها السوقية
wahm_229,متى تمّ إحتلال سوريا من قبل فرنسا؟,1922
wahm_230,متى تمرد الإخوان ضد ملك مملكة الحجاز ؟,1926
wahm_231,ما هو مجمع الكرادلة؟,"الهيئة الجامعة لكافة الكرادلة الناخبين - أي أقل من ثمانين عام - في الكنيسة الكاثوليكية. ويشكل أعلى هيئة استشارية في الكرسي الرسولي, الهيئة الجامعة لكافة الكرادلة الناخبين - أي أقل من ثمانين عام - في الكنيسة الكاثوليكية"
wahm_232,متى تولى محمد جواد ظریف وزارة الخارجية الايرانية؟,"15 أغسطس 2013, أغسطس 2013"
