sample_id,qid,variety,question,gold_answer,answer,human_label,error_type,comments
audit_027,wahm_216,levantine,إيمتى تأسست جامعة ستانفورد بالولايات المتحدة؟,1885,"إيمتى تأسست جامعة ستاندرد آند بورز 500 يرتفع 0.2% في بداية التعاملات ببورصة وول ستريت
الخميس 14/أكتوبر/2021 - 04:51 م 10/14/2021 4:51:00 PM
ارتفع مؤشر ستاندرد آند بورز 500 في بداية التعاملات ببورصة وول ستريت اليوم الخميس، بعد أن أظهرت بيانات أن التضخم في الولايات المتحدة تباطأ في سبتمبر، مما عزز الآمال في أن يبدأ مجلس الاحتياطي الاتحادي (البنك المركزي الأمريكي) في التخفيف من وتيرة تشديد السياسة النقدية.
وارتفع مؤشر داو جونز الصناعي 10.13 نقطة بما يعادل 0.03% إلى 34121.11 نقطة، وزاد مؤشر ستاندرد آند بورز 500 الأوسع نطاقا 8.11 نقطة أو 0.18% إلى 4351.13 نقطة، ونزل مؤشر ناسداك المجمع 11.12 نقطة أو 0.07% إلى 14431.12 نقطة.
وأظهرت بيانات وزارة العمل الأمريكية اليوم الخميس أن مؤشر أسعار المستهلكين ارتفع 0.4% في سبتمبر، وهو أبطأ وتيرة منذ أبريل، بعد أن زاد 0.3% في أغسطس.
وارتفع مؤشر أسعار المستهلكين الأساسي، الذي يستثني أسعار الغذاء والطاقة المتقلبة، 0.2% في سبتمبر، وهو أبطأ وتيرة منذ يناير، بعد أن زاد 0.3% في أغسطس.
وارتفع مؤشر أسعار المستهلكين 5.4% في سبتمبر مقارنة بالعام السابق، وهو أبطأ وتيرة منذ مايو، بعد أن زاد 5.3% في أغسطس.
وارتفع مؤشر أسعار المستهلكين الأساسي 4% في سبتمبر مقارنة بالعام السابق، وهو أبطأ وتيرة منذ أبريل، بعد أن زاد 4.0% في أغسطس.
وخلال جلسة أمس الأربعاء، ارت",,,
audit_031,wahm_020,egyptian,إسحاق رابين مات سنة كام؟,4 نوفمبر 1995,"إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق رابين مات سنة كام؟
إسحاق را",,,
audit_024,wahm_155,egyptian,"جهاز المخابرات الإسرائيلي ""الموساد"" اتأسس إمتى؟",13 ديسمبر 1949,"جهاز المخابرات الإسرائيلي ""الموساد"" اتأسس في سنة 1949. يعني ده بعد قيام دولة إسرائيل بحوالي سنة ونص. الهدف من إنشاء الموساد كان حماية أمن إسرائيل وتنفيذ عمليات سرية خارج حدود إسرائيل، زي جمع المعلومات، وتنفيذ عمليات اغتيال أو تخريب ضد أعداء إسرائيل. الموساد لعب دور كبير في تاريخ إسرائيل، وكان له تأثير كبير في السياسة والأمن الإسرائيلي.",,,
audit_083,wahm_253,gulf,وش هي الأورام الدبقية؟,أكثر أورام المخ شيوعاً والأكثر عدوانيةً مقارنةً بباقي أورام المخ التي تصيب الإنسان,"الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي أورام تنشأ من الخلايا الدبقية، وهي خلايا الدعم في الدماغ والحبل الشوكي.
الأورام الدبقية هي",,,
audit_040,wahm_256,levantine,شو هي السفسطة أو السفسطائية؟,"مذهب فكري فلسفي, مذهب فكري فلسفي نشأ في اليونان إبان نهاية القرن السادس وبداية القرن الخامس ق.م في بلاد الإغريق","""السفسطة"" أو ""السفسطائية"" هي مصطلحات تُستخدم في الفلسفة، خاصة في الفلسفة اليونانية، لوصف نوع من التفكير أو الأسلوب في التفكير الذي يُستخدم لفضح أو تحليل الأفكار الفلسفية أو المنطقية، بهدف إظهار عيوبها أو تناقضاتها.

### ما هي السفسطة؟

السفسطة (Sophism) هي:
- **أسلوب في التفكير** يُستخدم لفضح أو تحليل الأفكار الفلسفية أو المنطقية.
- تُستخدم أحيانًا لخداع الآخرين أو إظهار عيوب في المنطق أو في الأفكار.
- تُعتبر أحيانًا أسلوبًا **غير أخلاقي** أو **مُستغل**، حيث تُستخدم للخداع أو التلاعب بالمعاني.

### ما هي السفسطائية؟

السفسطائية (Sophistry) هي:
- **السلوك أو الممارسة** التي تعتمد على استخدام السفسطة.
- تُعتبر أحيانًا **مُستغلة** أو **غير أخلاقية**، حيث تُستخدم لخداع الآخرين أو توجيههم إلى خلاصات خاطئة.
- تُستخدم في بعض الأحيان في الفلسفة لتحليل المنطق والتفكير النقدي.

### مثال على السفسطة:

مثالًا على السفسطة هو ""السفسطة المعرفية"" (Socratic Irony)، وهي أسلوب يستخدمه سقراط في محادثاته، حيث يُظهر أنه لا يعلم شيئًا، ليُحفّز الخصوم على التفكير بعمق.

### مثال على السفسطة غير الأخلاقية:

مثالًا على السفسطة غير الأخلاقية هو استخدام الأقوال المُضللة أو التلاعب بالمعاني لخداع الآخرين أو تحقيق مكاسب شخصية.

### الخلاصة:

- **السفسطة** هي أسلوب في التفكير أو المنطق.
- **السفسطائية** هي الممارسة أو السلوك الذي يعتمد على استخدام السفسطة.
- تُعتبر السفسطة أحيانًا أسلوبًا فلسفياً نقد",,,
audit_055,wahm_232,egyptian,أمتا محمد جواد ظریف مسك وزارة الخارجية الايرانية؟,"15 أغسطس 2013, أغسطس 2013",أمتا محمد جواد ظريف مسك وزارة الخارجية الإيرانية في 4 أغسطس 2013.,,,
audit_196,wahm_196,msa,من كان أول رئيس وزراء بريطانيا؟,"السير روبرت والبول, روبرت والبول","أول رئيس وزراء لبريطانيا يُعدّ عمومًا **السير روبرت والبول**، وقد تولّى المنصب فعليًا من **1721 إلى 1742**.

مع ملاحظة أن لقب ""رئيس الوزراء"" لم يكن رسميًا في ذلك الوقت، لكنه يُعتبر أول من شغل هذا الدور بالمعنى العملي.",,,
audit_090,wahm_264,egyptian,رئاسة إلوي ألفارو لجمهورية الإكوادور دامت قد إيه؟,1897-1901 و1906-1911,دامت رئاسة إلوي ألفارو لجمهورية الإكوادور من 10 أغسطس 1992 حتى 14 أغسطس 1994.,,,
audit_165,wahm_219,egyptian,مين اخترع الإطار المطاطي؟,جون بويد دنلوب,بص يا سيدي، الإطار المطاطي ده اخترعه واحد ألماني اسمه كارل دانجنر في سنة 1844. كان شغال في صناعة الإطارات وقتها، وكان عايز يعمل حاجة أحسن من الإطارات المعدنية اللي كانت موجودة. الراجل ده كان عبقري بجد، عمل أول إطار مطاطي صلب في العالم، وبعدين في 1845 عمل أول إطار مطاطي مرن. يعني الراجل ده كان ahead of his time أوي. دلوقتي كل العربيات اللي بنشوفها في الشارع فيها الإطارات دي اللي كلنا بنعتمد عليها.,,,
audit_006,wahm_089,levantine,مين هني الأصوليين؟,اصطلاحٌ سياسي فكري مستحدث يشير إلى نظرة متكاملة للحياة بكافة جوانبها السياسية والاجتماعية والاقتصادية والثقافية نابعة عن قناعة متأصلة نابعة عن إيمانٍ بفكرةٍ أو منظومة قناعات، تكون في الغالب تصوراً  أو عقيدةٍ دينية,"""الأصوليين"" هو مصطلح يُستخدم عادةً لوصف مجموعة من الأفراد أو الجماعات التي تُركز على **الالتزام بالأساسيات الدينية**، وغالبًا ما تُعتبر أنفسهم مُحافظين على **العقيدة الإسلامية** كما وردت في **الكتاب والسنة**، دون التأثر بالتطورات الحديثة أو التأويلات المعاصرة. لكن هذا المصطلح قد يُستخدم بطرق مختلفة حسب السياق، فهناك أوجه مختلفة لفهمه:

---

### 1. **في السياق الإسلامي:**
- **الأساسيات الدينية**: يُقصد بها العقيدة والشريعة والطريقة التي تُطبق بها.
- **الأساليب**: قد يُعتبر الأصوليون أنفسهم مُحافظين على **العقيدة والشريعة** كما وردت في الكتاب والسنة، وغالبًا ما يُفضلون **التحقيق في الأصل** (السبب والسببية) في الأحكام الشرعية.
- **الفرق بين الأصوليين والسلفيين**: في بعض الأحيان، يُستخدم مصطلح ""الأصوليين"" لوصف من يُركزون على **الأساسيات الشرعية**، بينما يُستخدم مصطلح ""السلفيون"" لوصف من يُركزون على **التطبيق العملي للعقيدة والشريعة**، وغالبًا ما يُعتبرون من أتباع **السلف الصالح**.

---

### 2. **في السياق العام:**
- **الأساسيات**: قد يُستخدم مصطلح ""الأصوليين"" لوصف من يُركزون على **الأساسيات** في أي مجال، مثل:
  - **الاقتصاد**: الأصوليين الاقتصاديين يُركزون على **الأساسيات الاقتصادية** مثل الإنتاج والعمل.
  - **السياسة**: الأصوليين السياسيين يُركزون على **الأساسيات السياسية** مثل السيادة والديمقراطية.
  - **الاجتماعي**: الأصوليين الاجتماعيين يُركزون على **الأساسيات الاجتماعية** مثل العدالة والمساواة.

---

### 3. **في السياق السياسي أو الاجتماعي:**
- في",,,
audit_056,wahm_109,levantine,وين بيقع البحر الميت؟,"أخدود وادي الأردن, في أخدود وادي الأردن ضمن الشق السوري الأفريقي","البحر الميت هو بحيرة مغلقة ومالحة تقع في جنوب شرق آسيا، تحديداً بين الأردن من الشرق وفلسطين من الغرب. يُعتبر البحر الميت من أكثر الأماكن انخفاضاً على سطح الأرض، حيث يصل انخفاضه إلى حوالي 430 متر تحت مستوى سطح البحر. البحر الميت معروف بملوحته العالية جداً، حيث تصل نسبة الأملاح فيه إلى حوالي 34%، مما يجعله بيئة فريدة وغير صالحة للحياة البحرية.

البحر الميت يُعتبر وجهة سياحية شهيرة، حيث يأتي الناس للاستمتاع بمياهه المالحة التي تساعد في علاج بعض الأمراض الجلدية. كما أن المنطقة المحيطة به تحتوي على العديد من المواقع الأثرية والتاريخية، مما يجعلها وجهة سياحية ثقافية أيضاً.

من الناحية الدينية، يُذكر البحر الميت في بعض النصوص الدينية، حيث يُعتقد أن النبي لوط عليه السلام قد نجا من الطوفان مع عائلته عندما نزلوا إلى البحر الميت.",,,
audit_054,wahm_075,levantine,شو عاصمة أيرلندا الشمالية؟,بلفاست,"شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أيرلندا الشمالية؟
شو عاصمة أير",,,
audit_232,wahm_123,levantine,وين توفي أبو عبد الله سفيان بن سعيد بن مسروق؟,البصرة,الكوفة,,,
audit_169,wahm_039,gulf,كم مساحة جورجيا؟,69.700 كم2,"إذا كنت تقصد **دولة جورجيا** في القوقاز، فمساحتها حوالي **69,700 كم²**.

أما **ولاية جورجيا الأمريكية** فمساحتها حوالي **153,910 كم²**.",,,
audit_243,wahm_031,sudanese,ميكيلانجيلو اتولد وين؟,"قرية كابريزي قرب أريتسو بتوسكانا, كابريزي",ميكيلانجيلو بوناروتي اتولد في كابريزي، اللي دلوقتي جزء من مدينة فلورنسا في إيطاليا، يوم 6 مارس 1475.,,,
audit_021,wahm_168,sudanese,"المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟",15 يوليو، 2016,"المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثينقز"" نزل متين؟
المسلسل الامريكي ""سترينجر ثين",,,
audit_195,wahm_171,levantine,مين اخترع الديناميت؟,ألفرد نوبل,"ألفرد نوبل هو مخترع الديناميت. ألفرد نوبل كان مهندسًا وكيميائيًا سويديًا، وقد اخترع الديناميت في عام 1867. الديناميت هو مادة متفجرة تُستخدم في العديد من التطبيقات مثل البناء والتعدين، وقد أحدث اختراع نوبل ثورة في هذه الصناعات.

ألفرد نوبل حصل على براءة اختراع الديناميت في عام 1867، وبعد ذلك أسس شركة نوبل ماينينغ التي أصبحت فيما بعد شركة نوبل للصناعات. نوبل كان أيضًا مخترعًا لعدة مواد متفجرة أخرى، وقد أسس جوائز نوبل التي تُمنح سنويًا في مجالات مختلفة مثل السلام، الأدب، الكيمياء، الفيزياء، والطب، تكريمًا للإنجازات البارزة في هذه المجالات.

من المهم أن نذكر أن نوبل لم يكن سعيدًا بالشهرة التي حصل عليها بسبب اختراعه للديناميت، وقد أعرب عن ندمه على ذلك في وصيته، حيث أوصى بتخصيص جزء كبير من ثروته لإنشاء جوائز نوبل التي تهدف إلى تكريم الإنجازات العلمية والإنسانية.",,,
audit_157,wahm_104,egyptian,مدينة قطيسفون موجودة فين؟,جنوب شرق بغداد,"مدينة **قَطِيسفون** (بالإنجليزية: **Ctesiphon**) هي مدينة قديمة تقع في **العراق**، بالقرب من **مدينة النجف**، في جنوب شرق البلاد. كانت قطيسفون عاصمة للإمبراطورية الساسانية (التي حكمت من 224 إلى 651 م) وعاصمة للإمبراطورية البيزنطية لفترة قصيرة.

### أهمية قطيسفون:
- كانت مركزًا ثقافيًا وعسكريًا ودينيًا في القديم.
- تقع على ضفاف نهر **الدجلة**، مما جعلها نقطة تجارية مهمة.
- تحتوي على مسجد قديم يُعرف باسم **مسجد قطيسفون**، وهو من أقدم المساجد في العالم الإسلامي، يعود إلى القرن الأول الهجري.

إذا كنت تبحث عن موقعها الجغرافي، فهي تقع في **مقاطعة النجف** في **العراق**، وتبعد حوالي 100 كيلومتر جنوب شرق **الكاظمية**.",,,
