sample_id,qid,variety,condition,model,family,question,gold_answer,answer,pivot_question,model_id,temperature,resolved_model_id,pivot_model_id,timestamp,error,layer1_coverage,layer1_decision,degeneration_reasons,layer2_hallucination_probability,layer2_decision_threshold,combined_decision,combined_label,headline_failure_label,source_file,audit_route,threshold_band
audit_011,wahm_270,msa,direct,qwen3-8b,multilingual,متى تاسس نادي ليون الفرنسي؟,1950,نادي ليون الفرنسي تأسس في **13 يوليو 1965**. يُعرف أيضًا باسم **AS Saint-Étienne**، لكنه يُعرف بشكل عام باسم **نادي ليون** أو **ليون** في السياقات الرياضية. يلعب الفريق في الدوري الفرنسي الممتاز (Ligue 1) ويُعتبر أحد أبرز الأندية الفرنسية في تاريخ كرة القدم.,,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:26:21+00:00,,0.000,defer,,0.979923,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/qwen3_8b/scores_combined.csv,layer2_hallucination,far
audit_012,wahm_041,egyptian,direct,fanar,arabic_centric,في أنهي سنة اتأسست مدينة العيون؟,1938,تأسست مدينة العيون في المغرب عام 1938.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:22:13+00:00,,1.000,defer,,0.031535,0.235000,clean,0,0,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_clean,far
audit_013,wahm_172,msa,direct,allam,arabic_centric,ما هي الخلايا الحبيبية المتعادلة؟,"أكثر أنواع  كريات الدم البيضاء, أكثر أنواع  كريات الدم البيضاء غزارة لدى الإنسان حيث تشكل ما نسبته 60-70% من كريات الدم البيضاء","الخلايا الحبيبية المتعادلة هي نوع من خلايا الدم البيضاء التي تلعب دورًا مهمًا في الجهاز المناعي للجسم. هذه الخلايا تُعرف أيضًا بالنيتروفيلات، وهي تشكل الجزء الأكبر من خلايا الدم البيضاء في الدم. النيتروفيلات هي الخط الأول للدفاع ضد العدوى البكتيرية، حيث تقوم بابتلاع وتدمير الكائنات الدقيقة الضارة مثل البكتيريا والفطريات.

تتكون النيتروفيلات في نخاع العظم ثم تنتقل إلى مجرى الدم، حيث يمكن أن تنتقل إلى الأنسجة المصابة أو الملتهبة للمساعدة في مكافحة العدوى. عند حدوث إصابة أو التهاب، يتم إطلاق إشارات كيميائية تجذب النيتروفيلات إلى موقع الإصابة، مما يساعد في عملية الشفاء.

تتكون النيتروفيلات من عدة أجزاء رئيسية، منها:
1. **الهيولى**: المادة السائلة داخل الخلية.
2. **الهيولى الحبيبية**: تحتوي على حبيبات تحتوي على إنزيمات تساعد في تدمير الكائنات الدقيقة.
3. **الهيولى المتعادلة**: تحتوي على حبيبات تحتوي على إنزيمات مثل الليزوزيم، التي تساعد في تدمير البكتيريا.
4. **الهيولى المتعادلة المتغيرة**: تحتوي على حبيبات تحتوي على إنزيمات مثل الإيلاستاز، التي تساعد في تدمير البكتيريا.

النيتروفيلات تلعب دورًا حيويًا في الحفاظ على صحة الجسم من خلال مكافحة العدوى والمساعدة في عملية الشفاء.",,humain-ai/ALLaM-7B-Instruct-preview,0.0,humain-ai/ALLaM-7B-Instruct-preview,,2026-08-16T19:05:10+00:00,,0.400,defer,,0.304027,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/allam/scores_combined.csv,layer2_hallucination,near_0.20
audit_014,wahm_174,levantine,direct,fanar,arabic_centric,مين هي باولا عبدول؟,فنانة أمريكية يهودية مشهورة لوالد يهودي سوري من حلب,"باولا عبدول هي ممثلة ومغنية كينية معروفة. ولدت في 10 نوفمبر 1984 في نيروبي، كينيا. اشتهرت بدورها في المسلسل التلفزيوني الكيني الشهير ""Tahidi High"" حيث لعبت دور ""Shugly"". كما شاركت في العديد من الأفلام والمسلسلات الأخرى، وأصدرت أيضًا ألبومات موسيقية.",,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:22:48+00:00,,0.111,defer,,0.942505,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_hallucination,far
audit_015,wahm_079,gulf,direct,gpt55,multilingual,متى بدت عملية الغزو السوفيتي لبولندا؟,17 سبتمبر 1939,بدأت عملية الغزو السوفيتي لبولندا في **17 سبتمبر/أيلول 1939**، وذلك بعد نحو أسبوعين من بدء الغزو الألماني لبولندا في 1 سبتمبر 1939.,,gpt-5.5,,gpt-5.5,,2026-08-17T18:57:21+00:00,,1.000,defer,,0.055996,0.235000,clean,0,0,results/judge_v2_rescored_e9c5abb/gpt55/scores_combined.csv,layer2_clean,near_0.20
audit_016,wahm_147,egyptian,direct,qwen3-8b,multilingual,إيه هي الأدوية؟,أية مادة تستعمل في تشخيص أو معالجة الأمراض التي تصيب الإنسان أو الحيوان، أو التي تفيد في تخفيف وطأتها أو الوقاية منها,"""الأدوية"" هي مواد كيميائية تُستخدم لعلاج الأمراض، تحسين الصحة، أو منع الأمراض. تُصنف الأدوية إلى عدة أنواع حسب الغرض منها، مثل:

### 1. **الأدوية العلاجية (العلاجية):**
- تُستخدم لعلاج الأمراض أو الأعراض.
- مثال: **المسكنات** (مثل الإيبوبروفين)، **المضادات الحيوية** (مثل الأموكسيسيلين)، **المنومات** (مثل الباراسيتامول).

### 2. **الأدوية الوقائية:**
- تُستخدم لمنع حدوث مرض أو تكراره.
- مثال: **اللقاحات**، **الفيتامينات** (مثل فيتامين C لتعزيز المناعة).

### 3. **الأدوية المساعدة (العلاجية المساعدة):**
- تُستخدم لتحسين وظائف الجسم أو تخفيف الأعراض.
- مثال: **المنشطات** (مثل الكافيين)، **الفيتامينات**.

### 4. **الأدوية المهدئة (المنومات):**
- تُستخدم لتهدئة العقل أو العصبية.
- مثال: **الباراسيتامول** (للألم)، **الإيبوبروفين** (للالتهابات).

### 5. **الأدوية المضادة للسرطان:**
- تُستخدم لعلاج السرطان.
- مثال: **الكيماويات العلاجية** (مثل الـ Cisplatin).

### 6. **الأدوية المضادة للسكري:**
- تُستخدم لتنظيم نسبة السكر في الدم.
- مثال: **الإنسولين**، **الجليبيزيد**.

### 7. **الأدوية المضادة للصرع:**
- تُستخدم لعلاج الصرع.
- مثال: **الكارbamazepine**.

### 8. **الأدوية المضادة للقلق:**
- تُستخدم لعلاج القلق والاضطرابات العصبية.
- مثال: **البروبينوبيبرازين**.

### 9. **الأدوية المضادة للالتهابات:",,Qwen/Qwen3-8B,0.0,Qwen/Qwen3-8B,,2026-08-18T12:28:31+00:00,,0.500,defer,,0.255831,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/qwen3_8b/scores_combined.csv,layer2_hallucination,near_0.05
audit_017,wahm_177,levantine,direct,fanar,arabic_centric,وين بتقع مدينة دنقلا العجوز؟,"الولاية الشمالية بالسودان, على الضفة الشرقية لنهر النيل، في الولاية الشمالية بالسودان",تقع مدينة دنقلا العجوز في شمال السودان، على الضفة الغربية لنهر النيل. وهي تقع تقريباً على بعد 300 كيلومتر شمال العاصمة الخرطوم.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:22:48+00:00,,0.800,defer,,0.030130,0.235000,clean,0,0,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_clean,far
audit_018,wahm_172,sudanese,direct,fanar,arabic_centric,الخلايا الحبيبية المتعادلة دي شنو؟,"أكثر أنواع  كريات الدم البيضاء, أكثر أنواع  كريات الدم البيضاء غزارة لدى الإنسان حيث تشكل ما نسبته 60-70% من كريات الدم البيضاء",الخلايا الحبيبية المتعادلة، والتي تُعرف أيضاً بالنيوتروفيلات، هي نوع من خلايا الدم البيضاء التي تلعب دوراً حاسماً في الاستجابة المناعية للجسم. هذه الخلايا تحتوي على حبيبات تحتوي على إنزيمات ومواد أخرى تساعد في القضاء على الجراثيم والمواد الغريبة. إنها أول الخلايا التي تصل إلى موقع الالتهاب أو العدوى.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:23:13+00:00,,0.400,defer,,0.237182,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_hallucination,near_0.05
audit_019,wahm_215,levantine,direct,fanar,arabic_centric,شو أقدم جامعة بمدينة روما؟,"روما, جامعة لا سابينزا",أقدم جامعة في مدينة روما هي جامعة سابينزا (Università degli Studi di Roma La Sapienza). تأسست عام 1303، مما يجعلها واحدة من أقدم الجامعات في العالم. ومع ذلك، يُشار إلى أنها تأسست بشكل غير رسمي في القرن الثالث عشر، ولكنها حصلت على الاعتراف الرسمي في عام 1303.,,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:22:53+00:00,,1.000,defer,,0.237987,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_hallucination,near_0.05
audit_020,wahm_199,egyptian,direct,fanar,arabic_centric,إيه أكبر شركة بتصنع المواد الاستهلاكية في العالم؟,بروكتر وغامبل,"أكبر شركة عالمية من حيث القيمة السوقية التي تنتج مجموعة واسعة من السلع الاستهلاكية هي Procter & Gamble (P&G). ومع ذلك، إذا كنت تقصد الشركة التي تنتج أكبر حجم من السلع الاستهلاكية، فقد يكون من الصعب تحديدها بدقة بسبب تنوع المنتجات والأسواق. ولكن، شركات مثل Nestlé، Unilever، و Coca-Cola غالباً ما يتم ذكرها كأحد أكبر الشركات المنتجة للسلع الاستهلاكية في العالم. يعتمد ذلك على كيفية تعريف ""أكبر"" - سواء من حيث القيمة السوقية، حجم المبيعات، أو عدد المنتجات.",,QCRI/Fanar-1-9B-Instruct,0.0,QCRI/Fanar-1-9B-Instruct,,2026-08-17T17:22:24+00:00,,0.000,defer,,0.975368,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar_instruct/scores_combined.csv,layer2_hallucination,far
audit_021,wahm_170,levantine,direct,gpt55,multilingual,بأي سنة انعملت القائمة الحمراء للأنواع المهددة بالانقراض؟,1963,أُنشئت **القائمة الحمراء للأنواع المهددة بالانقراض** التابعة للاتحاد الدولي لحفظ الطبيعة **IUCN** عام **1964**.,,gpt-5.5,,gpt-5.5,,2026-08-17T19:05:25+00:00,,0.000,defer,,0.870217,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/gpt55/scores_combined.csv,layer2_hallucination,far
audit_022,wahm_266,gulf,direct,fanar,arabic_centric,منو جيمس مونرو؟,"خامس رؤساء الولايات المتحدة, خامس رؤساء الولايات المتحدة من 1817 إلى 1825 ورجل دولة وأحد الآباء المؤسسون","منو جيمس مونرو؟
جيمس مونرو هو الرئيس الخامس للولايات المتحدة الأمريكية، وهو من مواليد 28 أبريل 1758، وتوفي في 4 يوليو 1831، وهو من أصول اسكتلندية، وقد كان من أبرز الشخصيات السياسية في الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أبرز الشخصيات التي ساهمت في تأسيس الولايات المتحدة الأمريكية، وقد كان من أ",,QCRI/Fanar-1-9B,0.0,QCRI/Fanar-1-9B,,2026-08-17T16:45:22+00:00,,0.500,defer,,0.330082,0.235000,factual_hallucination,1,1,results/judge_v2_rescored_e9c5abb/fanar/scores_combined.csv,layer2_hallucination,near_0.20
